nimi,uusi_id,vanha_id,uusi_code,vanha_code
Ahvenanmaa,956,,91,
Etelä-Karjalan hyvinvointialue,957,877,11,7
Etelä-Pohjanmaan hyvinvointialue,958,878,16,12
Etelä-Savon hyvinvointialue,959,879,12,8
Helsingin kaupunki,960,880,90,22
Itä-Uudenmaan hyvinvointialue,961,881,1,18
Kainuun hyvinvointialue,962,882,20,16
Kanta-Hämeen hyvinvointialue,963,883,7,3
Keski-Pohjanmaan hyvinvointialue,964,884,18,14
Keski-Suomen hyvinvointialue,965,885,15,11
Keski-Uudenmaan hyvinvointialue,966,886,2,19
Kymenlaakson hyvinvointialue,967,887,10,6
Lapin hyvinvointialue,968,888,21,17
Länsi-Uudenmaan hyvinvointialue,969,889,3,20
Pirkanmaan hyvinvointialue,970,890,8,4
Pohjanmaan hyvinvointialue,971,891,17,13
Pohjois-Karjalan hyvinvointialue,972,892,14,10
Pohjois-Pohjanmaan hyvinvointialue,973,893,19,15
Pohjois-Savon hyvinvointialue,974,894,13,9
Päijät-Hämeen hyvinvointialue,975,895,9,5
Satakunnan hyvinvointialue,976,896,6,2
Vantaan ja Keravan hyvinvointialue,977,897,4,21
Varsinais-Suomen hyvinvointialue,978,898,5,1
